question,answer,source,category,scholar,reliability,tags,difficulty_level
ما هي أركان الإيمان؟,أركان الإيمان ستة: الإيمان بالله وملائكته وكتبه ورسله واليوم الآخر والقدر خيره وشره.,حديث جبريل,عقيدة,النبي محمد ﷺ,صحيح,"إيمان,أركان,عقيدة",مبتدئ
ما هي أركان الإسلام؟,أركان الإسلام خمسة: شهادة أن لا إله إلا الله وأن محمداً رسول الله وإقام الصلاة وإيتاء الزكاة وصوم رمضان وحج البيت لمن استطاع إليه سبيلاً.,حديث ابن عمر,عقيدة,النبي محمد ﷺ,صحيح,"إسلام,أركان,عبادة",مبتدئ
ما معنى لا إله إلا الله؟,معناها: لا معبود بحق إلا الله فهي تنفي الألوهية عن غير الله وتثبتها لله وحده.,كتب العقيدة,عقيدة,علماء الأمة,صحيح,"توحيد,شهادة,معنى",مبتدئ
ما هي شروط الصلاة؟,شروط الصلاة تسعة: الإسلام والعقل والتمييز ورفع الحدث وإزالة النجاسة وستر العورة ودخول الوقت واستقبال القبلة والنية.,كتب الفقه,عبادات,الفقهاء,صحيح,"صلاة,شروط,فقه",متوسط
متى يجب الوضوء؟,يجب الوضوء عند إرادة الصلاة وعند مس المصحف وعند الطواف وينقض بالحدث الأصغر كالبول والغائط والريح.,كتب الفقه,عبادات,الفقهاء,صحيح,"وضوء,طهارة,أحكام",مبتدئ
ما هي أركان الصلاة؟,أركان الصلاة أربعة عشر ركناً منها: القيام مع القدرة وتكبيرة الإحرام وقراءة الفاتحة والركوع والسجود والجلوس بين السجدتين والتشهد الأخير والسلام.,كتب الفقه,عبادات,الفقهاء,صحيح,"صلاة,أركان,فقه",متوسط
ما هي حقوق الوالدين؟,حقوق الوالدين كثيرة منها: البر والإحسان إليهما وطاعتهما في المعروف والدعاء لهما وعدم عقوقهما وصلة أصدقائهما بعد موتهما.,القرآن والسنة,أخلاق,علماء الأمة,صحيح,"والدين,بر,حقوق",مبتدئ
ما هي آداب الطعام في الإسلام؟,آداب الطعام تشمل: البسملة قبل الأكل والأكل باليمين والأكل مما يلي الآكل وعدم الإسراف والحمد بعد الانتهاء.,السنة النبوية,أخلاق,النبي محمد ﷺ,صحيح,"طعام,آداب,سنة",مبتدئ
ما حكم الربا في الإسلام؟,الربا محرم في الإسلام تحريماً قطعياً وهو من كبائر الذنوب وقد لعن الله آكل الربا وموكله وكاتبه وشاهديه.,القرآن والسنة,معاملات,علماء الأمة,صحيح,"ربا,حرام,معاملات",متوسط
ما هي شروط البيع الصحيح؟,شروط البيع الصحيح تشمل: رضا الطرفين وأن يكون المبيع مملوكاً للبائع وأن يكون معلوماً وأن يكون مقدوراً على تسليمه وأن يكون حلالاً.,كتب الفقه,معاملات,الفقهاء,صحيح,"بيع,شروط,فقه",متوسط
